Timestamp,Puissance Active (W)
"25/08/2025 11:32:21",17.13
"25/08/2025 11:32:22",16.87
"25/08/2025 11:32:23",16.80
"25/08/2025 11:32:24",16.86
"25/08/2025 11:32:26",17.01
"25/08/2025 11:32:27",576.88
"25/08/2025 11:32:28",161.19
"25/08/2025 11:32:30",175.42
"25/08/2025 11:32:31",178.70
"25/08/2025 11:32:32",179.77
"25/08/2025 11:32:34",181.55
"25/08/2025 11:32:36",182.27
"25/08/2025 11:32:38",181.42
"25/08/2025 11:32:39",181.05
"25/08/2025 11:32:41",180.17
"25/08/2025 11:32:42",179.89
"25/08/2025 11:32:43",177.81
"25/08/2025 11:32:45",177.27
"25/08/2025 11:32:46",176.63
"25/08/2025 11:32:47",176.70
"25/08/2025 11:32:49",175.22
"25/08/2025 11:32:50",175.16
"25/08/2025 11:32:51",175.32
"25/08/2025 11:32:53",174.91
"25/08/2025 11:32:54",172.93
"25/08/2025 11:32:55",174.31
"25/08/2025 11:32:57",174.54
"25/08/2025 11:32:58",173.45
"25/08/2025 11:32:59",173.01
"25/08/2025 11:33:01",172.64
"25/08/2025 11:33:02",173.11
"25/08/2025 11:33:03",173.23
"25/08/2025 11:33:05",172.43
"25/08/2025 11:33:06",172.20
"25/08/2025 11:33:07",172.09
"25/08/2025 11:33:09",172.53
"25/08/2025 11:33:10",172.95
"25/08/2025 11:33:11",172.73
"25/08/2025 11:33:13",172.37
"25/08/2025 11:33:14",172.77
"25/08/2025 11:33:15",171.85
"25/08/2025 11:33:17",172.85
"25/08/2025 11:33:18",172.68
"25/08/2025 11:33:19",173.32
"25/08/2025 11:33:20",172.87
"25/08/2025 11:33:22",173.23
"25/08/2025 11:33:23",172.70
"25/08/2025 11:33:24",172.94
"25/08/2025 11:33:25",173.22
"25/08/2025 11:33:27",172.61
"25/08/2025 11:33:28",171.69
"25/08/2025 11:33:29",171.65
"25/08/2025 11:33:31",172.49
"25/08/2025 11:33:33",171.85
"25/08/2025 11:33:34",171.59
"25/08/2025 11:33:36",171.68
"25/08/2025 11:33:37",171.06
"25/08/2025 11:33:39",170.68
"25/08/2025 11:33:40",172.37
"25/08/2025 11:33:41",171.97
"25/08/2025 11:33:42",171.47
"25/08/2025 11:33:44",170.74
"25/08/2025 11:33:46",170.92
"25/08/2025 11:33:47",170.11
"25/08/2025 11:33:48",170.47
"25/08/2025 11:33:50",171.05
"25/08/2025 11:33:51",169.90
"25/08/2025 11:33:53",169.95
"25/08/2025 11:33:54",170.69
"25/08/2025 11:33:55",170.49
"25/08/2025 11:33:57",169.38
"25/08/2025 11:33:58",170.18
"25/08/2025 11:33:59",169.11
"25/08/2025 11:34:01",170.52
"25/08/2025 11:34:02",170.60
"25/08/2025 11:34:03",170.02
"25/08/2025 11:34:04",170.07
"25/08/2025 11:34:06",169.46
"25/08/2025 11:34:07",169.20
"25/08/2025 11:34:08",168.87
"25/08/2025 11:34:10",169.62
"25/08/2025 11:34:11",170.05
"25/08/2025 11:34:12",170.37
"25/08/2025 11:34:14",170.48
"25/08/2025 11:34:15",169.50
"25/08/2025 11:34:16",169.41
"25/08/2025 11:34:17",168.58
"25/08/2025 11:34:19",169.64
"25/08/2025 11:34:20",168.74
"25/08/2025 11:34:22",169.21
"25/08/2025 11:34:23",168.98
"25/08/2025 11:34:25",168.91
"25/08/2025 11:34:26",168.61
"25/08/2025 11:34:27",168.56
"25/08/2025 11:34:29",168.45
"25/08/2025 11:34:30",168.93
"25/08/2025 11:34:31",168.58
"25/08/2025 11:34:33",169.45
"25/08/2025 11:34:34",168.58
"25/08/2025 11:34:35",168.50
"25/08/2025 11:34:37",168.35
"25/08/2025 11:34:38",168.32
"25/08/2025 11:34:39",168.67
"25/08/2025 11:34:41",170.25
"25/08/2025 11:34:42",169.61
"25/08/2025 11:34:44",169.51
"25/08/2025 11:34:45",169.02
"25/08/2025 11:34:46",170.32
"25/08/2025 11:34:48",169.47
"25/08/2025 11:34:49",170.10
"25/08/2025 11:34:50",169.57
"25/08/2025 11:34:51",169.80
"25/08/2025 11:34:53",169.47
"25/08/2025 11:34:54",169.05
"25/08/2025 11:34:55",169.69
"25/08/2025 11:34:57",169.46
"25/08/2025 11:34:58",169.83
"25/08/2025 11:35:00",169.36
"25/08/2025 11:35:01",169.27
"25/08/2025 11:35:02",169.87
"25/08/2025 11:35:04",168.49
"25/08/2025 11:35:05",167.54
"25/08/2025 11:35:07",167.05
"25/08/2025 11:35:08",167.70
"25/08/2025 11:35:09",168.35
"25/08/2025 11:35:11",168.59
"25/08/2025 11:35:12",168.73
"25/08/2025 11:35:13",169.28
"25/08/2025 11:35:15",168.24
"25/08/2025 11:35:16",168.64
