Timestamp,Puissance Active (W)
"25/08/2025 13:40:36",40.27
"25/08/2025 13:40:37",40.55
"25/08/2025 13:40:38",40.50
"25/08/2025 13:40:40",40.42
"25/08/2025 13:40:41",40.31
"25/08/2025 13:40:42",40.23
"25/08/2025 13:40:43",40.62
"25/08/2025 13:40:45",40.33
"25/08/2025 13:40:46",40.43
"25/08/2025 13:40:47",40.16
"25/08/2025 13:40:48",40.73
"25/08/2025 13:40:49",40.30
"25/08/2025 13:40:50",40.44
"25/08/2025 13:40:52",40.39
"25/08/2025 13:40:53",40.19
"25/08/2025 13:40:54",40.35
"25/08/2025 13:40:56",40.37
"25/08/2025 13:40:57",40.59
"25/08/2025 13:40:58",40.24
"25/08/2025 13:40:59",40.48
"25/08/2025 13:41:01",40.52
"25/08/2025 13:41:02",40.35
"25/08/2025 13:41:03",40.45
"25/08/2025 13:41:04",40.53
"25/08/2025 13:41:05",40.54
"25/08/2025 13:41:07",40.40
"25/08/2025 13:41:08",40.36
"25/08/2025 13:41:09",40.35
"25/08/2025 13:41:11",40.22
"25/08/2025 13:41:12",40.41
"25/08/2025 13:41:13",40.42
"25/08/2025 13:41:14",40.36
"25/08/2025 13:41:15",40.58
"25/08/2025 13:41:16",40.54
"25/08/2025 13:41:17",40.56
"25/08/2025 13:41:19",40.22
"25/08/2025 13:41:20",40.50
"25/08/2025 13:41:21",40.91
"25/08/2025 13:41:23",40.37
"25/08/2025 13:41:24",40.43
"25/08/2025 13:41:25",40.35
"25/08/2025 13:41:26",40.48
"25/08/2025 13:41:28",40.49
"25/08/2025 13:41:29",40.52
"25/08/2025 13:41:30",40.56
"25/08/2025 13:41:31",40.42
"25/08/2025 13:41:32",40.71
"25/08/2025 13:41:34",40.53
"25/08/2025 13:41:35",40.48
"25/08/2025 13:41:36",40.40
"25/08/2025 13:41:38",40.58
"25/08/2025 13:41:39",40.58
"25/08/2025 13:41:41",40.53
"25/08/2025 13:41:42",40.28
"25/08/2025 13:41:43",40.45
"25/08/2025 13:41:44",40.52
"25/08/2025 13:41:45",40.35
"25/08/2025 13:41:47",40.40
"25/08/2025 13:41:48",40.17
"25/08/2025 13:41:49",40.41
"25/08/2025 13:41:50",40.31
"25/08/2025 13:41:51",40.30
"25/08/2025 13:41:52",40.36
"25/08/2025 13:41:54",40.14
"25/08/2025 13:41:55",40.56
"25/08/2025 13:41:57",40.18
"25/08/2025 13:41:58",40.50
"25/08/2025 13:42:00",40.59
"25/08/2025 13:42:01",40.39
"25/08/2025 13:42:02",40.17
"25/08/2025 13:42:04",40.25
"25/08/2025 13:42:05",40.33
"25/08/2025 13:42:06",40.22
"25/08/2025 13:42:07",40.42
"25/08/2025 13:42:08",40.39
"25/08/2025 13:42:09",40.31
"25/08/2025 13:42:11",40.44
"25/08/2025 13:42:12",40.39
"25/08/2025 13:42:13",40.29
"25/08/2025 13:42:15",40.64
"25/08/2025 13:42:16",40.65
"25/08/2025 13:42:18",40.49
"25/08/2025 13:42:19",40.50
"25/08/2025 13:42:20",40.49
"25/08/2025 13:42:22",40.44
"25/08/2025 13:42:23",40.46
"25/08/2025 13:42:25",40.37
"25/08/2025 13:42:26",40.30
"25/08/2025 13:42:27",40.32
"25/08/2025 13:42:29",40.42
"25/08/2025 13:42:30",40.53
"25/08/2025 13:42:31",40.40
"25/08/2025 13:42:32",40.46
"25/08/2025 13:42:33",40.55
"25/08/2025 13:42:34",40.48
"25/08/2025 13:42:36",40.66
"25/08/2025 13:42:37",40.45
"25/08/2025 13:42:38",40.44
"25/08/2025 13:42:40",40.49
"25/08/2025 13:42:41",40.39
"25/08/2025 13:42:42",40.43
"25/08/2025 13:42:43",40.44
"25/08/2025 13:42:44",40.43
"25/08/2025 13:42:45",40.40
"25/08/2025 13:42:47",40.47
"25/08/2025 13:42:48",40.34
"25/08/2025 13:42:49",40.24
"25/08/2025 13:42:51",40.34
"25/08/2025 13:42:52",40.44
"25/08/2025 13:42:53",40.20
"25/08/2025 13:42:55",40.34
"25/08/2025 13:42:56",40.02
"25/08/2025 13:42:58",40.13
"25/08/2025 13:42:59",40.36
"25/08/2025 13:43:00",40.32
"25/08/2025 13:43:01",40.40
"25/08/2025 13:43:02",40.67
"25/08/2025 13:43:04",40.42
"25/08/2025 13:43:06",40.57
"25/08/2025 13:43:07",40.44
"25/08/2025 13:43:08",40.30
"25/08/2025 13:43:09",40.56
"25/08/2025 13:43:11",40.35
"25/08/2025 13:43:12",40.39
"25/08/2025 13:43:13",40.30
"25/08/2025 13:43:14",40.38
"25/08/2025 13:43:16",40.26
"25/08/2025 13:43:17",40.47
"25/08/2025 13:43:18",40.22
"25/08/2025 13:43:19",40.38
"25/08/2025 13:43:21",40.38
"25/08/2025 13:43:22",40.34
"25/08/2025 13:43:23",40.12
"25/08/2025 13:43:25",40.24
"25/08/2025 13:43:26",40.41
"25/08/2025 13:43:28",40.25
"25/08/2025 13:43:29",40.28
"25/08/2025 13:43:30",40.58
"25/08/2025 13:43:31",40.25
"25/08/2025 13:43:32",40.34
"25/08/2025 13:43:34",40.36
"25/08/2025 13:43:35",40.39
"25/08/2025 13:43:36",40.24
"25/08/2025 13:43:37",40.42
"25/08/2025 13:43:39",40.44
"25/08/2025 13:43:40",40.23
"25/08/2025 13:43:41",40.27
"25/08/2025 13:43:43",40.35
"25/08/2025 13:43:44",40.31
"25/08/2025 13:43:45",40.12
"25/08/2025 13:43:46",40.45
"25/08/2025 13:43:48",40.16
"25/08/2025 13:43:49",40.53
"25/08/2025 13:43:51",40.47
"25/08/2025 13:43:52",40.21
"25/08/2025 13:43:53",40.46
"25/08/2025 13:43:55",40.59
"25/08/2025 13:43:56",40.41
"25/08/2025 13:43:57",40.46
"25/08/2025 13:43:58",40.43
"25/08/2025 13:43:59",40.26
"25/08/2025 13:44:01",40.33
"25/08/2025 13:44:02",40.36
"25/08/2025 13:44:03",40.31
"25/08/2025 13:44:05",40.39
"25/08/2025 13:44:06",40.26
"25/08/2025 13:44:07",40.36
"25/08/2025 13:44:08",40.35
"25/08/2025 13:44:10",40.46
"25/08/2025 13:44:11",40.42
"25/08/2025 13:44:12",40.33
"25/08/2025 13:44:13",40.60
"25/08/2025 13:44:15",40.32
"25/08/2025 13:44:16",40.51
"25/08/2025 13:44:17",40.43
"25/08/2025 13:44:18",40.47
"25/08/2025 13:44:19",40.65
"25/08/2025 13:44:20",40.36
"25/08/2025 13:44:22",40.65
"25/08/2025 13:44:23",40.26
"25/08/2025 13:44:25",40.37
"25/08/2025 13:44:26",40.68
"25/08/2025 13:44:27",40.29
"25/08/2025 13:44:29",40.51
"25/08/2025 13:44:30",40.50
"25/08/2025 13:44:32",40.44
"25/08/2025 13:44:33",40.29
"25/08/2025 13:44:34",40.82
"25/08/2025 13:44:36",40.34
"25/08/2025 13:44:37",40.24
"25/08/2025 13:44:39",40.36
"25/08/2025 13:44:40",40.16
"25/08/2025 13:44:42",40.18
"25/08/2025 13:44:43",40.67
"25/08/2025 13:44:44",40.27
"25/08/2025 13:44:45",40.19
"25/08/2025 13:44:47",40.30
"25/08/2025 13:44:48",40.59
"25/08/2025 13:44:49",40.24
"25/08/2025 13:44:50",40.44
"25/08/2025 13:44:51",40.46
"25/08/2025 13:44:53",40.46
"25/08/2025 13:44:54",40.47
"25/08/2025 13:44:55",40.48
"25/08/2025 13:44:57",40.67
"25/08/2025 13:44:58",40.28
"25/08/2025 13:44:59",40.44
"25/08/2025 13:45:01",40.41
"25/08/2025 13:45:02",40.30
"25/08/2025 13:45:03",40.21
"25/08/2025 13:45:04",40.27
"25/08/2025 13:45:06",40.37
"25/08/2025 13:45:08",40.51
"25/08/2025 13:45:09",40.45
"25/08/2025 13:45:11",40.26
"25/08/2025 13:45:12",40.59
"25/08/2025 13:45:13",40.32
"25/08/2025 13:45:15",40.29
"25/08/2025 13:45:16",40.29
"25/08/2025 13:45:18",40.41
"25/08/2025 13:45:19",40.41
"25/08/2025 13:45:20",40.20
"25/08/2025 13:45:22",40.53
"25/08/2025 13:45:23",40.47
"25/08/2025 13:45:25",40.43
"25/08/2025 13:45:26",40.44
"25/08/2025 13:45:27",40.14
"25/08/2025 13:45:28",40.38
"25/08/2025 13:45:30",40.55
"25/08/2025 13:45:31",40.35
"25/08/2025 13:45:33",40.40
"25/08/2025 13:45:34",40.63
"25/08/2025 13:45:35",40.62
"25/08/2025 13:45:36",40.47
"25/08/2025 13:45:37",40.52
"25/08/2025 13:45:38",40.46
"25/08/2025 13:45:39",40.34
"25/08/2025 13:45:41",40.31
"25/08/2025 13:45:42",40.38
"25/08/2025 13:45:43",40.30
"25/08/2025 13:45:45",40.30
"25/08/2025 13:45:46",40.19
"25/08/2025 13:45:47",40.23
"25/08/2025 13:45:49",40.19
"25/08/2025 13:45:50",40.40
"25/08/2025 13:45:51",40.65
"25/08/2025 13:45:53",40.53
"25/08/2025 13:45:54",40.60
"25/08/2025 13:45:55",40.57
"25/08/2025 13:45:56",40.52
"25/08/2025 13:45:57",40.52
"25/08/2025 13:45:59",40.39
"25/08/2025 13:46:00",40.18
"25/08/2025 13:46:01",40.36
"25/08/2025 13:46:02",40.32
"25/08/2025 13:46:04",40.21
"25/08/2025 13:46:05",40.31
"25/08/2025 13:46:06",40.42
"25/08/2025 13:46:08",40.27
"25/08/2025 13:46:09",40.49
"25/08/2025 13:46:10",40.16
"25/08/2025 13:46:12",40.24
"25/08/2025 13:46:13",40.28
"25/08/2025 13:46:15",40.49
"25/08/2025 13:46:16",40.19
"25/08/2025 13:46:17",40.08
"25/08/2025 13:46:19",40.44
"25/08/2025 13:46:20",40.41
"25/08/2025 13:46:21",40.26
"25/08/2025 13:46:23",40.36
"25/08/2025 13:46:24",40.65
"25/08/2025 13:46:26",40.23
"25/08/2025 13:46:27",40.26
"25/08/2025 13:46:28",40.24
"25/08/2025 13:46:30",40.36
"25/08/2025 13:46:31",40.49
"25/08/2025 13:46:32",40.23
"25/08/2025 13:46:34",40.41
"25/08/2025 13:46:35",40.34
"25/08/2025 13:46:37",40.32
"25/08/2025 13:46:39",40.53
"25/08/2025 13:46:40",40.45
"25/08/2025 13:46:42",40.39
"25/08/2025 13:46:43",40.40
"25/08/2025 13:46:44",40.40
"25/08/2025 13:46:46",40.18
"25/08/2025 13:46:47",40.27
"25/08/2025 13:46:48",40.37
"25/08/2025 13:46:49",40.38
"25/08/2025 13:46:51",40.23
"25/08/2025 13:46:52",40.69
"25/08/2025 13:46:54",40.38
"25/08/2025 13:46:55",40.23
"25/08/2025 13:46:56",40.25
"25/08/2025 13:46:58",40.51
"25/08/2025 13:46:59",40.47
"25/08/2025 13:47:00",40.40
"25/08/2025 13:47:01",40.68
"25/08/2025 13:47:03",40.25
"25/08/2025 13:47:04",40.50
"25/08/2025 13:47:06",40.28
"25/08/2025 13:47:07",40.33
"25/08/2025 13:47:08",40.22
"25/08/2025 13:47:10",40.49
